answer,guessed,num_guessed,time_to_solve
scrum,handy#swift#glove#crump#scrum,5,0.28
vomit,handy#swift#glove#crump#vomit,5,0.3
sully,handy#swift#glove#crump#sulky#sully,6,0.3
smell,handy#swift#glove#crump#smell,5,0.29
meant,handy#swift#glove#crump#meant,5,0.28
gazer,handy#swift#glove#crump#gager#gazer,6,0.3
hilly,handy#swift#glove#crump#hilly,5,0.28
admit,handy#swift#glove#crump#admit,5,0.29
equip,handy#swift#glove#crump#equip,5,0.28
nanny,handy#swift#glove#crump#janny#nanny,6,0.3
taper,handy#swift#glove#crump#pater#taper,6,0.31
noble,handy#swift#glove#crump#noble,5,0.28
place,handy#swift#glove#crump#place,5,0.27
ready,handy#swift#glove#crump#ready,5,0.3
polar,handy#swift#glove#crump#polar,5,0.28
buyer,handy#swift#glove#crump#buyer,5,0.29
flash,handy#swift#glove#crump#flash,5,0.3
lucky,handy#swift#glove#crump#lucky,5,0.29
again,handy#swift#glove#crump#again,5,0.28
boost,handy#swift#glove#crump#boost,5,0.28
fritz,handy#swift#glove#crump#fritz,5,0.28
boney,handy#swift#glove#crump#boney,5,0.3
juice,handy#swift#glove#crump#juice,5,0.28
erase,handy#swift#glove#crump#erase,5,0.28
entry,handy#swift#glove#crump#entry,5,0.29
sound,handy#swift#glove#crump#sound,5,0.3
wheat,handy#swift#glove#crump#wheat,5,0.27
decor,handy#swift#glove#crump#decor,5,0.3
cried,handy#swift#glove#crump#cried,5,0.28
suing,handy#swift#glove#crump#suing,5,0.3
rainy,handy#swift#glove#crump#rainy,5,0.28
irate,handy#swift#glove#crump#irate,5,0.29
carat,handy#swift#glove#crump#carat,5,0.28
mogul,handy#swift#glove#crump#mogul,5,0.28
write,handy#swift#glove#crump#write,5,0.28
gloat,handy#swift#glove#crump#gloat,5,0.3
cheap,handy#swift#glove#crump#cheap,5,0.27
rouge,handy#swift#glove#crump#rouge,5,0.3
angry,handy#swift#glove#crump#angry,5,0.28
leafy,handy#swift#glove#crump#leafy,5,0.28
lowly,handy#swift#glove#crump#lowly,5,0.28
fjord,handy#swift#glove#crump#fjord,5,0.3
await,handy#swift#glove#crump#await,5,0.28
blink,handy#swift#glove#crump#blini#blink,6,0.3
pooch,handy#swift#glove#crump#pooch,5,0.28
story,handy#swift#glove#crump#story,5,0.29
drake,handy#swift#glove#crump#drake,5,0.28
labor,handy#swift#glove#crump#labor,5,0.3
spout,handy#swift#glove#crump#spout,5,0.28
siege,handy#swift#glove#crump#siege,5,0.28
angel,handy#swift#glove#crump#angel,5,0.29
vista,handy#swift#glove#crump#vitas#vista,6,0.3
ensue,handy#swift#glove#crump#unsee#ensue,6,0.3
glide,handy#swift#glove#crump#glide,5,0.28
buggy,handy#swift#glove#crump#buggy,5,0.3
field,handy#swift#glove#crump#filed#field,6,0.29
pizza,handy#swift#glove#crump#pizza,5,0.3
yacht,handy#swift#glove#crump#yacht,5,0.28
round,handy#swift#glove#crump#round,5,0.28
winch,handy#swift#glove#crump#winch,5,0.29
radar,handy#swift#glove#crump#radar,5,0.3
shall,handy#swift#glove#crump#shall,5,0.28
sleep,handy#swift#glove#crump#sleep,5,0.28
gypsy,handy#swift#glove#crump#gypsy,5,0.28
trade,handy#swift#glove#crump#trade,5,0.29
horde,handy#swift#glove#crump#horde,5,0.3
dried,handy#swift#glove#crump#dried,5,0.28
catch,handy#swift#glove#crump#catch,5,0.3
graph,handy#swift#glove#crump#graph,5,0.28
crawl,handy#swift#glove#crump#crawl,5,0.29
clasp,handy#swift#glove#crump#clasp,5,0.28
staff,handy#swift#glove#crump#staff,5,0.28
slime,handy#swift#glove#crump#slime,5,0.28
adapt,handy#swift#glove#crump#adapt,5,0.28
notch,handy#swift#glove#crump#notch,5,0.29
quash,handy#swift#glove#crump#quash,5,0.3
cadet,handy#swift#glove#crump#cadet,5,0.28
coast,handy#swift#glove#crump#coast,5,0.29
jelly,handy#swift#glove#crump#kelly#belly#jelly,7,0.3
borax,handy#swift#glove#crump#borak#borax,6,0.3
arena,handy#swift#glove#crump#arena,5,0.28
rabbi,handy#swift#glove#crump#rabbi,5,0.3
glyph,handy#swift#glove#crump#glyph,5,0.28
block,handy#swift#glove#crump#block,5,0.29
morph,handy#swift#glove#crump#morph,5,0.28
fancy,handy#swift#glove#crump#fancy,5,0.3
spice,handy#swift#glove#crump#spice,5,0.28
doing,handy#swift#glove#crump#doing,5,0.3
filly,handy#swift#glove#crump#filly,5,0.29
boule,handy#swift#glove#crump#joule#boule,6,0.3
intro,handy#swift#glove#crump#intro,5,0.3
mango,handy#swift#glove#crump#mango,5,0.28
third,handy#swift#glove#crump#third,5,0.31
goner,handy#swift#glove#crump#goner,5,0.28
stork,handy#swift#glove#crump#stoor#stork,6,0.31
which,handy#swift#glove#crump#which,5,0.28
banjo,handy#swift#glove#crump#banjo,5,0.3
